emoticon	category	Description
(°_°>)	wide_eyed	Confused
(°-°)	wide_eyed	Confused
(°.°)	wide_eyed	Confused
(°°)	wide_eyed	Confused
(°◇°)	wide_eyed	Shocked, surprised
(°レ°)	wide_eyed	Confused
(+_+)	wide_eyed	Amazed
(+o+)	wide_eyed	Confused
(o.o)	wide_eyed	Surprised
(o|o)	wide_eyed	Ultraman; alien_ultraman
;‑)	winking	Wink
;‑]	winking	Wink
;)	winking	Wink
;]	winking	Wink
;^)	winking	Wink
;D	winking	Wink
:‑,	winking	Wink
(^_-)	winking	Wink
(^_-)-☆	winking	Wink
(p_-)	winking	p wink
*-)	winking	Wink
*)	winking	Wink
|;‑)	winking	winking;cool
